"TicketNumber","Summary","Status","Priority","ReportedBy","AssignedTo","ClosedAt","CreatedAt"
"TKT-0024","Cannot export CSV report","In Progress","High","Alice J. Smith","Administrator","","2025-06-29T09:42:21Z"
"TKT-0025","Search returns no results for crash","Blocked","Medium","Administrator","Alice J. Smith","","2025-06-29T11:27:21Z"
"TKT-0026","Performance regression in Search","Closed","Low","Alice J. Smith","Administrator","2012-11-11T19:57:21Z","2025-06-29T13:12:21Z"
"TKT-0027","UI alignment broken on Firefox 120","Open","Critical","Administrator","Alice J. Smith","","2025-06-29T14:57:21Z"
"TKT-0028","API returns 500 on /api/v1/users","In Progress","High","Alice J. Smith","","","2025-06-29T16:42:21Z"
"TKT-0029","Pagination skips records in Settings","Blocked","Medium","Administrator","Alice J. Smith","","2025-06-29T18:27:21Z"
"TKT-0030","Notification emails not sent for assignment","Closed","Low","Alice J. Smith","Administrator","2012-11-14T23:57:21Z","2025-06-29T20:12:21Z"
"TKT-0031","File upload fails for JSON files","Open","Critical","Administrator","Alice J. Smith","","2025-06-29T21:57:21Z"
"TKT-0032","Session timeout too aggressive in Users","In Progress","High","Alice J. Smith","Administrator","","2025-06-29T23:42:21Z"
"TKT-0033","Dark mode toggle broken on Safari","Blocked","Medium","Administrator","","","2025-06-30T01:27:21Z"
"TKT-0034","Dropdown values not saved in Report Builder","Closed","Low","Alice J. Smith","Administrator","2012-11-19T03:57:21Z","2025-06-30T03:12:21Z"
"TKT-0035","Bulk delete removes wrong records in Dashboard","Open","Critical","Administrator","Alice J. Smith","","2025-06-30T04:57:21Z"
"TKT-0036","Date picker shows wrong timezone for UTC-8","In Progress","High","Alice J. Smith","Administrator","","2025-06-30T06:42:21Z"
"TKT-0037","CSV import fails on XML encoding","Blocked","Medium","Administrator","Alice J. Smith","","2025-06-30T08:27:21Z"
"TKT-0038","Password reset link expires too quickly","Closed","Low","Alice J. Smith","","2012-11-23T07:57:21Z","2025-06-30T10:12:21Z"
"TKT-0039","Two-factor auth bypass on Firefox","Open","Critical","Administrator","Alice J. Smith","","2025-06-30T11:57:21Z"
"TKT-0040","Graph renders blank after assignment","In Progress","High","Alice J. Smith","Administrator","","2025-06-30T13:42:21Z"
"TKT-0041","Sort order wrong for Status column","Blocked","Medium","Administrator","Alice J. Smith","","2025-06-30T15:27:21Z"
"TKT-0042","Filter resets on page refresh in Search","Closed","Low","Alice J. Smith","Administrator","2012-11-27T11:57:21Z","2025-06-30T17:12:21Z"
"TKT-0043","Login page crashes on iOS 17","Open","Critical","Administrator","","","2025-06-30T18:57:21Z"
"TKT-0044","Cannot export CSV report","In Progress","High","Alice J. Smith","Administrator","","2025-06-30T20:42:21Z"
"TKT-0045","Search returns no results for crash","Blocked","Medium","Administrator","Alice J. Smith","","2025-06-30T22:27:21Z"
"TKT-0046","Performance regression in Admin","Closed","Low","Alice J. Smith","Administrator","2012-12-01T15:57:21Z","2025-07-01T00:12:21Z"
"TKT-0047","UI alignment broken on Firefox 120","Open","Critical","Administrator","Alice J. Smith","","2025-07-01T01:57:21Z"
"TKT-0048","API returns 500 on /api/v1/users","In Progress","High","Alice J. Smith","","","2025-07-01T03:42:21Z"
"TKT-0049","Pagination skips records in Tickets","Blocked","Medium","Administrator","Alice J. Smith","","2025-07-01T05:27:21Z"
"TKT-0050","Notification emails not sent for assignment","Closed","Low","Alice J. Smith","Administrator","2012-12-05T19:57:21Z","2025-07-01T07:12:21Z"
"TKT-0051","File upload fails for JSON files","Open","Critical","Administrator","Alice J. Smith","","2025-07-01T08:57:21Z"
"TKT-0052","Session timeout too aggressive in Reports","In Progress","High","Alice J. Smith","Administrator","","2025-07-01T10:42:21Z"
"TKT-0053","Dark mode toggle broken on Windows 11","Blocked","Medium","Administrator","","","2025-07-01T12:27:21Z"
"TKT-0054","Dropdown values not saved in Report Builder","Closed","Low","Alice J. Smith","Administrator","2012-12-08T23:57:21Z","2025-07-01T14:12:21Z"
"TKT-0055","Bulk delete removes wrong records in Billing","Open","Critical","Administrator","Alice J. Smith","","2025-07-01T15:57:21Z"
"TKT-0056","Date picker shows wrong timezone for UTC-8","In Progress","High","Alice J. Smith","Administrator","","2025-07-01T17:42:21Z"
"TKT-0057","CSV import fails on XML encoding","Blocked","Medium","Administrator","Alice J. Smith","","2025-07-01T19:27:21Z"
"TKT-0058","Password reset link expires too quickly","Closed","Low","Alice J. Smith","","2012-12-13T03:57:21Z","2025-07-01T21:12:21Z"
"TKT-0059","Two-factor auth bypass on iOS 17","Open","Critical","Administrator","Alice J. Smith","","2025-07-01T22:57:21Z"
"TKT-0060","Graph renders blank after assignment","In Progress","High","Alice J. Smith","Administrator","","2025-07-02T00:42:21Z"
"TKT-0061","Sort order wrong for Status column","Blocked","Medium","Administrator","Alice J. Smith","","2025-07-02T02:27:21Z"
"TKT-0062","Filter resets on page refresh in Admin","Closed","Low","Alice J. Smith","Administrator","2012-12-17T07:57:21Z","2025-07-02T04:12:21Z"
"TKT-0063","Login page crashes on Firefox","Open","Critical","Administrator","","","2025-07-02T05:57:21Z"
"TKT-0064","Cannot export CSV report","In Progress","High","Alice J. Smith","Administrator","","2025-07-02T07:42:21Z"
"TKT-0065","Search returns no results for crash","Blocked","Medium","Administrator","Alice J. Smith","","2025-07-02T09:27:21Z"
"TKT-0066","Performance regression in Search","Closed","Low","Alice J. Smith","Administrator","2012-12-21T11:57:21Z","2025-07-02T11:12:21Z"
"TKT-0067","UI alignment broken on Firefox 120","Open","Critical","Administrator","Alice J. Smith","","2025-07-02T12:57:21Z"
"TKT-0068","API returns 500 on /api/v1/users","In Progress","High","Alice J. Smith","","","2025-07-02T14:42:21Z"
"TKT-0069","Pagination skips records in Settings","Blocked","Medium","Administrator","Alice J. Smith","","2025-07-02T16:27:21Z"
"TKT-0070","Notification emails not sent for assignment","Closed","Low","Alice J. Smith","Administrator","2012-12-25T15:57:21Z","2025-07-02T18:12:21Z"
"TKT-0071","File upload fails for JSON files","Open","Critical","Administrator","Alice J. Smith","","2025-07-02T19:57:21Z"
"TKT-0072","Session timeout too aggressive in Users","In Progress","High","Alice J. Smith","Administrator","","2025-07-02T21:42:21Z"
"TKT-0073","Dark mode toggle broken on Safari","Blocked","Medium","Administrator","","","2025-07-02T23:27:21Z"
"TKT-0074","Dropdown values not saved in Report Builder","Closed","Low","Alice J. Smith","Administrator","2012-12-29T19:57:21Z","2025-07-03T01:12:21Z"
"TKT-0075","Bulk delete removes wrong records in Dashboard","Open","Critical","Administrator","Alice J. Smith","","2025-07-03T02:57:21Z"
"TKT-0076","Date picker shows wrong timezone for UTC-8","In Progress","High","Alice J. Smith","Administrator","","2025-07-03T04:42:21Z"
"TKT-0077","CSV import fails on XML encoding","Blocked","Medium","Administrator","Alice J. Smith","","2025-07-03T06:27:21Z"
"TKT-0078","Password reset link expires too quickly","Closed","Low","Alice J. Smith","","2013-01-01T23:57:21Z","2025-07-03T08:12:21Z"
"TKT-0079","Two-factor auth bypass on Firefox","Open","Critical","Administrator","Alice J. Smith","","2025-07-03T09:57:21Z"
"TKT-0080","Graph renders blank after assignment","In Progress","High","Alice J. Smith","Administrator","","2025-07-03T11:42:21Z"
"TKT-0081","Sort order wrong for Status column","Blocked","Medium","Administrator","Alice J. Smith","","2025-07-03T13:27:21Z"
"TKT-0082","Filter resets on page refresh in Search","Closed","Low","Alice J. Smith","Administrator","2013-01-06T03:57:21Z","2025-07-03T15:12:21Z"
"TKT-0083","Login page crashes on iOS 17","Open","Critical","Administrator","","","2025-07-03T16:57:21Z"
"TKT-0084","Cannot export CSV report","In Progress","High","Alice J. Smith","Administrator","","2025-07-03T18:42:21Z"
"TKT-0085","Search returns no results for crash","Blocked","Medium","Administrator","Alice J. Smith","","2025-07-03T20:27:21Z"
"TKT-0086","Performance regression in Admin","Closed","Low","Alice J. Smith","Administrator","2013-01-10T07:57:21Z","2025-07-03T22:12:21Z"
"TKT-0087","UI alignment broken on Firefox 120","Open","Critical","Administrator","Alice J. Smith","","2025-07-03T23:57:21Z"
"TKT-0088","API returns 500 on /api/v1/users","In Progress","High","Alice J. Smith","","","2025-07-04T01:42:21Z"
"TKT-0089","Pagination skips records in Tickets","Blocked","Medium","Administrator","Alice J. Smith","","2025-07-04T03:27:21Z"
"TKT-0090","Notification emails not sent for assignment","Closed","Low","Alice J. Smith","Administrator","2013-01-14T11:57:21Z","2025-07-04T05:12:21Z"
"TKT-0091","File upload fails for JSON files","Open","Critical","Administrator","Alice J. Smith","","2025-07-04T06:57:21Z"
"TKT-0092","Session timeout too aggressive in Reports","In Progress","High","Alice J. Smith","Administrator","","2025-07-04T08:42:21Z"
"TKT-0093","Dark mode toggle broken on Windows 11","Blocked","Medium","Administrator","","","2025-07-04T10:27:21Z"
"TKT-0094","Dropdown values not saved in Report Builder","Closed","Low","Alice J. Smith","Administrator","2013-01-18T15:57:21Z","2025-07-04T12:12:21Z"
"TKT-0095","Bulk delete removes wrong records in Billing","Open","Critical","Administrator","Alice J. Smith","","2025-07-04T13:57:21Z"
"TKT-0096","Date picker shows wrong timezone for UTC-8","In Progress","High","Alice J. Smith","Administrator","","2025-07-04T15:42:21Z"
"TKT-0097","CSV import fails on XML encoding","Blocked","Medium","Administrator","Alice J. Smith","","2025-07-04T17:27:21Z"
"TKT-0098","Password reset link expires too quickly","Closed","Low","Alice J. Smith","","2013-01-22T19:57:21Z","2025-07-04T19:12:21Z"
"TKT-0099","Two-factor auth bypass on iOS 17","Open","Critical","Administrator","Alice J. Smith","","2025-07-04T20:57:21Z"
"TKT-0100","Graph renders blank after assignment","In Progress","High","Alice J. Smith","Administrator","","2025-07-04T22:42:21Z"
"TKT-0101","Sort order wrong for Status column","Blocked","Medium","Administrator","Alice J. Smith","","2025-07-05T00:27:21Z"
"TKT-0102","Filter resets on page refresh in Admin","Closed","Low","Alice J. Smith","Administrator","2013-01-25T23:57:21Z","2025-07-05T02:12:21Z"
"TKT-0103","Login page crashes on Firefox","Open","Critical","Administrator","","","2025-07-05T03:57:21Z"
"TKT-0104","Cannot export CSV report","In Progress","High","Alice J. Smith","Administrator","","2025-07-05T05:42:21Z"
"TKT-0105","Search returns no results for crash","Blocked","Medium","Administrator","Alice J. Smith","","2025-07-05T07:27:21Z"
"TKT-0106","Performance regression in Search","Closed","Low","Alice J. Smith","Administrator","2013-01-30T03:57:21Z","2025-07-05T09:12:21Z"
"TKT-0107","UI alignment broken on Firefox 120","Open","Critical","Administrator","Alice J. Smith","","2025-07-05T10:57:21Z"
"TKT-0108","API returns 500 on /api/v1/users","In Progress","High","Alice J. Smith","","","2025-07-05T12:42:21Z"
"TKT-0109","Pagination skips records in Settings","Blocked","Medium","Administrator","Alice J. Smith","","2025-07-05T14:27:21Z"
"TKT-0110","Notification emails not sent for assignment","Closed","Low","Alice J. Smith","Administrator","2013-02-03T07:57:21Z","2025-07-05T16:12:21Z"
"TKT-0111","File upload fails for JSON files","Open","Critical","Administrator","Alice J. Smith","","2025-07-05T17:57:21Z"
"TKT-0112","Session timeout too aggressive in Users","In Progress","High","Alice J. Smith","Administrator","","2025-07-05T19:42:21Z"
"TKT-0113","Dark mode toggle broken on Safari","Blocked","Medium","Administrator","","","2025-07-05T21:27:21Z"
"TKT-0114","Dropdown values not saved in Report Builder","Closed","Low","Alice J. Smith","Administrator","2013-02-07T11:57:21Z","2025-07-05T23:12:21Z"
"TKT-0115","Bulk delete removes wrong records in Dashboard","Open","Critical","Administrator","Alice J. Smith","","2025-07-06T00:57:21Z"
"TKT-0116","Date picker shows wrong timezone for UTC-8","In Progress","High","Alice J. Smith","Administrator","","2025-07-06T02:42:21Z"
"TKT-0117","CSV import fails on XML encoding","Blocked","Medium","Administrator","Alice J. Smith","","2025-07-06T04:27:21Z"
"TKT-0118","Password reset link expires too quickly","Closed","Low","Alice J. Smith","","2013-02-11T15:57:21Z","2025-07-06T06:12:21Z"
"TKT-0119","Two-factor auth bypass on Firefox","Open","Critical","Administrator","Alice J. Smith","","2025-07-06T07:57:21Z"
"TKT-0120","Graph renders blank after assignment","In Progress","High","Alice J. Smith","Administrator","","2025-07-06T09:42:21Z"
"TKT-0121","Sort order wrong for Status column","Blocked","Medium","Administrator","Alice J. Smith","","2025-07-06T11:27:21Z"
"TKT-0122","Filter resets on page refresh in Search","Closed","Low","Alice J. Smith","Administrator","2013-02-15T19:57:21Z","2025-07-06T13:12:21Z"
"TKT-0123","Login page crashes on iOS 17","Open","Critical","Administrator","","","2025-07-06T14:57:21Z"
"TKT-0124","Cannot export CSV report","In Progress","High","Alice J. Smith","Administrator","","2025-07-06T16:42:21Z"
"TKT-0125","Search returns no results for crash","Blocked","Medium","Administrator","Alice J. Smith","","2025-07-06T18:27:21Z"
"TKT-0126","Performance regression in Admin","Closed","Low","Alice J. Smith","Administrator","2013-02-18T23:57:21Z","2025-07-06T20:12:21Z"
"TKT-0127","UI alignment broken on Firefox 120","Open","Critical","Administrator","Alice J. Smith","","2025-07-06T21:57:21Z"
"TKT-0128","API returns 500 on /api/v1/users","In Progress","High","Alice J. Smith","","","2025-07-06T23:42:21Z"
"TKT-0129","Pagination skips records in Tickets","Blocked","Medium","Administrator","Alice J. Smith","","2025-07-07T01:27:21Z"
"TKT-0130","Notification emails not sent for assignment","Closed","Low","Alice J. Smith","Administrator","2013-02-23T03:57:21Z","2025-07-07T03:12:21Z"
"TKT-0131","File upload fails for JSON files","Open","Critical","Administrator","Alice J. Smith","","2025-07-07T04:57:21Z"
"TKT-0132","Session timeout too aggressive in Reports","In Progress","High","Alice J. Smith","Administrator","","2025-07-07T06:42:21Z"
"TKT-0133","Dark mode toggle broken on Windows 11","Blocked","Medium","Administrator","","","2025-07-07T08:27:21Z"
"TKT-0134","Dropdown values not saved in Report Builder","Closed","Low","Alice J. Smith","Administrator","2013-02-27T07:57:21Z","2025-07-07T10:12:21Z"
"TKT-0135","Bulk delete removes wrong records in Billing","Open","Critical","Administrator","Alice J. Smith","","2025-07-07T11:57:21Z"
"TKT-0136","Date picker shows wrong timezone for UTC-8","In Progress","High","Alice J. Smith","Administrator","","2025-07-07T13:42:21Z"
"TKT-0137","CSV import fails on XML encoding","Blocked","Medium","Administrator","Alice J. Smith","","2025-07-07T15:27:21Z"
"TKT-0138","Password reset link expires too quickly","Closed","Low","Alice J. Smith","","2013-03-03T11:57:21Z","2025-07-07T17:12:21Z"
"TKT-0139","Two-factor auth bypass on iOS 17","Open","Critical","Administrator","Alice J. Smith","","2025-07-07T18:57:21Z"
"TKT-0140","Graph renders blank after assignment","In Progress","High","Alice J. Smith","Administrator","","2025-07-07T20:42:21Z"
"TKT-0141","Sort order wrong for Status column","Blocked","Medium","Administrator","Alice J. Smith","","2025-07-07T22:27:21Z"
"TKT-0142","Filter resets on page refresh in Admin","Closed","Low","Alice J. Smith","Administrator","2013-03-07T15:57:21Z","2025-07-08T00:12:21Z"
"TKT-0143","Login page crashes on Firefox","Open","Critical","Administrator","","","2025-07-08T01:57:21Z"
"TKT-0144","Cannot export CSV report","In Progress","High","Alice J. Smith","Administrator","","2025-07-08T03:42:21Z"
"TKT-0145","Search returns no results for crash","Blocked","Medium","Administrator","Alice J. Smith","","2025-07-08T05:27:21Z"
"TKT-0146","Performance regression in Search","Closed","Low","Alice J. Smith","Administrator","2013-03-11T19:57:21Z","2025-07-08T07:12:21Z"
"TKT-0147","UI alignment broken on Firefox 120","Open","Critical","Administrator","Alice J. Smith","","2025-07-08T08:57:21Z"
"TKT-0148","API returns 500 on /api/v1/users","In Progress","High","Alice J. Smith","","","2025-07-08T10:42:21Z"
"TKT-0149","Pagination skips records in Settings","Blocked","Medium","Administrator","Alice J. Smith","","2025-07-08T12:27:21Z"
"TKT-0150","Notification emails not sent for assignment","Closed","Low","Alice J. Smith","Administrator","2013-03-14T23:57:21Z","2025-07-08T14:12:21Z"
"TKT-0151","File upload fails for JSON files","Open","Critical","Administrator","Alice J. Smith","","2025-07-08T15:57:21Z"
"TKT-0152","Session timeout too aggressive in Users","In Progress","High","Alice J. Smith","Administrator","","2025-07-08T17:42:21Z"
"TKT-0153","Dark mode toggle broken on Safari","Blocked","Medium","Administrator","","","2025-07-08T19:27:21Z"
"TKT-0154","Dropdown values not saved in Report Builder","Closed","Low","Alice J. Smith","Administrator","2013-03-19T03:57:21Z","2025-07-08T21:12:21Z"
"TKT-0155","Bulk delete removes wrong records in Dashboard","Open","Critical","Administrator","Alice J. Smith","","2025-07-08T22:57:21Z"
"TKT-0156","Date picker shows wrong timezone for UTC-8","In Progress","High","Alice J. Smith","Administrator","","2025-07-09T00:42:21Z"
"TKT-0157","CSV import fails on XML encoding","Blocked","Medium","Administrator","Alice J. Smith","","2025-07-09T02:27:21Z"
"TKT-0158","Password reset link expires too quickly","Closed","Low","Alice J. Smith","","2013-03-23T07:57:21Z","2025-07-09T04:12:21Z"
"TKT-0159","Two-factor auth bypass on Firefox","Open","Critical","Administrator","Alice J. Smith","","2025-07-09T05:57:21Z"
"TKT-0160","Graph renders blank after assignment","In Progress","High","Alice J. Smith","Administrator","","2025-07-09T07:42:21Z"
"TKT-0161","Sort order wrong for Status column","Blocked","Medium","Administrator","Alice J. Smith","","2025-07-09T09:27:21Z"
"TKT-0162","Filter resets on page refresh in Search","Closed","Low","Alice J. Smith","Administrator","2013-03-27T11:57:21Z","2025-07-09T11:12:21Z"
"TKT-0163","Login page crashes on iOS 17","Open","Critical","Administrator","","","2025-07-09T12:57:21Z"
"TKT-0164","Cannot export CSV report","In Progress","High","Alice J. Smith","Administrator","","2025-07-09T14:42:21Z"
"TKT-0165","Search returns no results for crash","Blocked","Medium","Administrator","Alice J. Smith","","2025-07-09T16:27:21Z"
"TKT-0166","Performance regression in Admin","Closed","Low","Alice J. Smith","Administrator","2013-03-31T15:57:21Z","2025-07-09T18:12:21Z"
"TKT-0167","UI alignment broken on Firefox 120","Open","Critical","Administrator","Alice J. Smith","","2025-07-09T19:57:21Z"
"TKT-0168","API returns 500 on /api/v1/users","In Progress","High","Alice J. Smith","","","2025-07-09T21:42:21Z"
"TKT-0169","Pagination skips records in Tickets","Blocked","Medium","Administrator","Alice J. Smith","","2025-07-09T23:27:21Z"
"TKT-0170","Notification emails not sent for assignment","Closed","Low","Alice J. Smith","Administrator","2013-04-04T19:57:21Z","2025-07-10T01:12:21Z"
"TKT-0171","File upload fails for JSON files","Open","Critical","Administrator","Alice J. Smith","","2025-07-10T02:57:21Z"
"TKT-0172","Session timeout too aggressive in Reports","In Progress","High","Alice J. Smith","Administrator","","2025-07-10T04:42:21Z"
"TKT-0173","Dark mode toggle broken on Windows 11","Blocked","Medium","Administrator","","","2025-07-10T06:27:21Z"
"TKT-0174","Dropdown values not saved in Report Builder","Closed","Low","Alice J. Smith","Administrator","2013-04-07T23:57:21Z","2025-07-10T08:12:21Z"
"TKT-0175","Bulk delete removes wrong records in Billing","Open","Critical","Administrator","Alice J. Smith","","2025-07-10T09:57:21Z"
"TKT-0176","Date picker shows wrong timezone for UTC-8","In Progress","High","Alice J. Smith","Administrator","","2025-07-10T11:42:21Z"
"TKT-0177","CSV import fails on XML encoding","Blocked","Medium","Administrator","Alice J. Smith","","2025-07-10T13:27:21Z"
"TKT-0178","Password reset link expires too quickly","Closed","Low","Alice J. Smith","","2013-04-12T03:57:21Z","2025-07-10T15:12:21Z"
"TKT-0179","Two-factor auth bypass on iOS 17","Open","Critical","Administrator","Alice J. Smith","","2025-07-10T16:57:21Z"
"TKT-0180","Graph renders blank after assignment","In Progress","High","Alice J. Smith","Administrator","","2025-07-10T18:42:21Z"
"TKT-0181","Sort order wrong for Status column","Blocked","Medium","Administrator","Alice J. Smith","","2025-07-10T20:27:21Z"
"TKT-0182","Filter resets on page refresh in Admin","Closed","Low","Alice J. Smith","Administrator","2013-04-16T07:57:21Z","2025-07-10T22:12:21Z"
"TKT-0183","Login page crashes on Firefox","Open","Critical","Administrator","","","2025-07-10T23:57:21Z"
"TKT-0184","Cannot export CSV report","In Progress","High","Alice J. Smith","Administrator","","2025-07-11T01:42:21Z"
"TKT-0185","Search returns no results for crash","Blocked","Medium","Administrator","Alice J. Smith","","2025-07-11T03:27:21Z"
"TKT-0186","Performance regression in Search","Closed","Low","Alice J. Smith","Administrator","2013-04-20T11:57:21Z","2025-07-11T05:12:21Z"
"TKT-0187","UI alignment broken on Firefox 120","Open","Critical","Administrator","Alice J. Smith","","2025-07-11T06:57:21Z"
"TKT-0188","API returns 500 on /api/v1/users","In Progress","High","Alice J. Smith","","","2025-07-11T08:42:21Z"
"TKT-0189","Pagination skips records in Settings","Blocked","Medium","Administrator","Alice J. Smith","","2025-07-11T10:27:21Z"
"TKT-0190","Notification emails not sent for assignment","Closed","Low","Alice J. Smith","Administrator","2013-04-24T15:57:21Z","2025-07-11T12:12:21Z"
"TKT-0191","File upload fails for JSON files","Open","Critical","Administrator","Alice J. Smith","","2025-07-11T13:57:21Z"
"TKT-0192","Session timeout too aggressive in Users","In Progress","High","Alice J. Smith","Administrator","","2025-07-11T15:42:21Z"
"TKT-0193","Dark mode toggle broken on Safari","Blocked","Medium","Administrator","","","2025-07-11T17:27:21Z"
"TKT-0194","Dropdown values not saved in Report Builder","Closed","Low","Alice J. Smith","Administrator","2013-04-28T19:57:21Z","2025-07-11T19:12:21Z"
"TKT-0195","Bulk delete removes wrong records in Dashboard","Open","Critical","Administrator","Alice J. Smith","","2025-07-11T20:57:21Z"
"TKT-0196","Date picker shows wrong timezone for UTC-8","In Progress","High","Alice J. Smith","Administrator","","2025-07-11T22:42:21Z"
"TKT-0197","CSV import fails on XML encoding","Blocked","Medium","Administrator","Alice J. Smith","","2025-07-12T00:27:21Z"
"TKT-0198","Password reset link expires too quickly","Closed","Low","Alice J. Smith","","2013-05-01T23:57:21Z","2025-07-12T02:12:21Z"
"TKT-0199","Two-factor auth bypass on Firefox","Open","Critical","Administrator","Alice J. Smith","","2025-07-12T03:57:21Z"
"TKT-0200","Graph renders blank after assignment","In Progress","High","Alice J. Smith","Administrator","","2025-07-12T05:42:21Z"
"TKT-0201","Sort order wrong for Status column","Blocked","Medium","Administrator","Alice J. Smith","","2025-07-12T07:27:21Z"
"TKT-0202","Filter resets on page refresh in Search","Closed","Low","Alice J. Smith","Administrator","2013-05-06T03:57:21Z","2025-07-12T09:12:21Z"
"TKT-0203","Login page crashes on iOS 17","Open","Critical","Administrator","","","2025-07-12T10:57:21Z"
"TKT-0204","Cannot export CSV report","In Progress","High","Alice J. Smith","Administrator","","2025-07-12T12:42:21Z"
"TKT-0205","Search returns no results for crash","Blocked","Medium","Administrator","Alice J. Smith","","2025-07-12T14:27:21Z"
"TKT-0206","Performance regression in Admin","Closed","Low","Alice J. Smith","Administrator","2013-05-10T07:57:21Z","2025-07-12T16:12:21Z"
"TKT-0207","UI alignment broken on Firefox 120","Open","Critical","Administrator","Alice J. Smith","","2025-07-12T17:57:21Z"
"TKT-0208","API returns 500 on /api/v1/users","In Progress","High","Alice J. Smith","","","2025-07-12T19:42:21Z"
"TKT-0209","Pagination skips records in Tickets","Blocked","Medium","Administrator","Alice J. Smith","","2025-07-12T21:27:21Z"
"TKT-0210","Notification emails not sent for assignment","Closed","Low","Alice J. Smith","Administrator","2013-05-14T11:57:21Z","2025-07-12T23:12:21Z"
"TKT-0211","File upload fails for JSON files","Open","Critical","Administrator","Alice J. Smith","","2025-07-13T00:57:21Z"
"TKT-0212","Session timeout too aggressive in Reports","In Progress","High","Alice J. Smith","Administrator","","2025-07-13T02:42:21Z"
"TKT-0213","Dark mode toggle broken on Windows 11","Blocked","Medium","Administrator","","","2025-07-13T04:27:21Z"
"TKT-0214","Dropdown values not saved in Report Builder","Closed","Low","Alice J. Smith","Administrator","2013-05-18T15:57:21Z","2025-07-13T06:12:21Z"
"TKT-0215","Bulk delete removes wrong records in Billing","Open","Critical","Administrator","Alice J. Smith","","2025-07-13T07:57:21Z"
"TKT-0216","Date picker shows wrong timezone for UTC-8","In Progress","High","Alice J. Smith","Administrator","","2025-07-13T09:42:21Z"
"TKT-0217","CSV import fails on XML encoding","Blocked","Medium","Administrator","Alice J. Smith","","2025-07-13T11:27:21Z"
"TKT-0218","Password reset link expires too quickly","Closed","Low","Alice J. Smith","","2013-05-22T19:57:21Z","2025-07-13T13:12:21Z"
"TKT-0219","Two-factor auth bypass on iOS 17","Open","Critical","Administrator","Alice J. Smith","","2025-07-13T14:57:21Z"
"TKT-0220","Graph renders blank after assignment","In Progress","High","Alice J. Smith","Administrator","","2025-07-13T16:42:21Z"
"TKT-0221","Sort order wrong for Status column","Blocked","Medium","Administrator","Alice J. Smith","","2025-07-13T18:27:21Z"
"TKT-0222","Filter resets on page refresh in Admin","Closed","Low","Alice J. Smith","Administrator","2013-05-25T23:57:21Z","2025-07-13T20:12:21Z"
"TKT-0223","Login page crashes on Firefox","Open","Critical","Administrator","","","2025-07-13T21:57:21Z"
"TKT-0224","Cannot export CSV report","In Progress","High","Alice J. Smith","Administrator","","2025-07-13T23:42:21Z"
